Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, -8.9490e-01, -4.4627e-01
-0.0000e+00, 8.9835e-01, 4.3928e-01
-0.0000e+00, 4.6470e-01, 3.0088e-01
-0.0000e+00, 5.9527e-02, 4.6295e-02
-0.0000e+00, 7.8481e-04, 6.1973e-04
-0.0000e+00, 7.8729e-04, 6.1659e-04
-0.0000e+00, -9.9991e-01, 1.3592e-02
-0.0000e+00, 8.0003e-01, -4.3236e-02
-0.0000e+00, 1.3411e-01, -2.0721e-02
-0.0000e+00, 9.6869e-04, -2.4828e-04
-0.0000e+00, 9.4077e-04, -3.3904e-04
-0.0000e+00, 1.3773e-02, -6.6632e-03
-0.0000e+00, -1.8960e-01, 1.0921e-01
-0.0000e+00, -7.1480e-01, 3.4935e-01
-0.0000e+00, 9.8330e-01, -1.8198e-01
-0.0000e+00, -9.8189e-01, -1.8944e-01
-0.0000e+00, 9.4604e-01, 3.2404e-01
-0.0000e+00, 9.4930e-01, 3.1438e-01
-0.0000e+00, 7.3873e-01, 3.3442e-01
-0.0000e+00, 1.2460e-01, 8.3697e-02
-0.0000e+00, 2.1547e-03, 1.5852e-03
-0.0000e+00, 8.0555e-04, 5.9253e-04
-0.0000e+00, 9.9987e-01, -1.6109e-02
-0.0000e+00, 7.8721e-01, -4.5054e-02
-0.0000e+00, 1.2463e-01, -2.3879e-02
-0.0000e+00, 9.4212e-04, -3.3528e-04
-0.0000e+00, 4.6439e-03, -2.4914e-03
-0.0000e+00, 1.0211e-01, -7.3483e-02
-0.0000e+00, -4.8294e-01, 3.7916e-01
-0.0000e+00, -8.2557e-01, 5.6431e-01
-0.0000e+00, -9.4714e-01, 3.2082e-01
-0.0000e+00, -9.9683e-01, -7.9509e-02
-0.0000e+00, -9.6777e-01, -2.5185e-01
-0.0000e+00, 9.6901e-01, 2.4702e-01
-0.0000e+00, 9.3832e-01, 3.2066e-01
-0.0000e+00, 2.0576e-01, 1.1921e-01
-0.0000e+00, 9.1917e-03, 6.1690e-03
-0.0000e+00, 8.2545e-04, 5.6448e-04
-0.0000e+00, -9.9929e-01, 3.7584e-02
-0.0000e+00, 7.7282e-01, -5.5397e-02
-0.0000e+00, 1.1443e-01, -2.8403e-02
-0.0000e+00, 2.4268e-03, -1.1466e-03
-0.0000e+00, 5.8752e-02, -4.1028e-02
-0.0000e+00, -3.8470e-01, 3.2048e-01
-0.0000e+00, -7.7404e-01, 6.3313e-01
-0.0000e+00, 8.0590e-01, -5.9205e-01
-0.0000e+00, 5.6065e-01, -2.1623e-01
-0.0000e+00, 5.7189e-01, 2.8498e-02
-0.0000e+00, 9.7009e-01, 2.4275e-01
-0.0000e+00, 9.7251e-01, 2.3284e-01
-0.0000e+00, 9.6150e-01, 2.7482e-01
-0.0000e+00, 3.5044e-01, 1.7228e-01
-0.0000e+00, 2.8898e-02, 1.7531e-02
-0.0000e+00, 8.4335e-04, 5.3736e-04
-0.0000e+00, 9.9896e-01, -4.5574e-02
-0.0000e+00, 7.5893e-01, -7.2653e-02
-0.0000e+00, 1.0573e-01, -3.5402e-02
-0.0000e+00, 4.4110e-02, -2.7330e-02
-0.0000e+00, -3.1977e-01, 2.6531e-01
-0.0000e+00, 7.6368e-01, -6.4559e-01
-0.0000e+00, 7.7606e-01, -6.3066e-01
-0.0000e+00, 4.6890e-01, -3.2759e-01
-0.0000e+00, 1.4549e-01, -4.8296e-02
-0.0000e+00, 2.5095e-01, 2.0722e-02
-0.0000e+00, 9.1518e-01, 2.4689e-01
-0.0000e+00, 9.7364e-01, 2.2807e-01
-0.0000e+00, -9.7214e-01, -2.3439e-01
-0.0000e+00, 5.2643e-01, 2.1008e-01
-0.0000e+00, 6.2565e-02, 3.4939e-02
-0.0000e+00, 8.5346e-04, 5.2115e-04
-0.0000e+00, -9.9856e-01, 5.3567e-02
-0.0000e+00, 7.4209e-01, -1.0223e-01
-0.0000e+00, -1.3973e-01, 6.2330e-02
-0.0000e+00, 2.9400e-01, -2.2480e-01
-0.0000e+00, 7.1903e-01, -6.4360e-01
-0.0000e+00, 7.6786e-01, -6.4062e-01
-0.0000e+00, 5.2176e-01, -4.0728e-01
-0.0000e+00, 1.3717e-01, -7.6996e-02
-0.0000e+00, 1.3022e-02, -2.4991e-03
-0.0000e+00, 1.3233e-01, 2.1722e-02
-0.0000e+00, 7.3459e-01, 2.2812e-01
-0.0000e+00, -9.7191e-01, -2.3536e-01
-0.0000e+00, -9.7488e-01, -2.2271e-01
-0.0000e+00, 7.0187e-01, 2.3034e-01
-0.0000e+00, 1.0635e-01, 5.7081e-02
-0.0000e+00, 1.3277e-03, 8.1144e-04
-0.0000e+00, -9.9862e-01, 5.2568e-02
-0.0000e+00, 7.3855e-01, -1.3394e-01
-0.0000e+00, 3.7866e-01, -2.0417e-01
-0.0000e+00, -6.8578e-01, 5.6900e-01
-0.0000e+00, -7.5339e-01, 6.5757e-01
-0.0000e+00, 5.9834e-01, -4.6275e-01
-0.0000e+00, 1.7676e-01, -1.0811e-01
-0.0000e+00, 1.4109e-02, -4.8202e-03
-0.0000e+00, -9.9933e-04, 3.6584e-05
-0.0000e+00, -7.0998e-02, -1.7193e-02
-0.0000e+00, 5.3797e-01, 1.8686e-01
-0.0000e+00, 9.6894e-01, 2.4731e-01
-0.0000e+00, 9.6849e-01, 2.4905e-01
-0.0000e+00, 8.7614e-01, 2.7439e-01
-0.0000e+00, 1.6593e-01, 8.7952e-02
-0.0000e+00, 5.8048e-03, 3.5590e-03
-0.0000e+00, -9.9933e-01, 3.6584e-02
-0.0000e+00, 8.6131e-01, -1.8710e-01
-0.0000e+00, 7.4532e-01, -4.2625e-01
-0.0000e+00, -7.8840e-01, 6.1516e-01
-0.0000e+00, 6.9107e-01, -4.9180e-01
-0.0000e+00, 2.4375e-01, -1.2668e-01
-0.0000e+00, 2.2113e-02, -7.0517e-03
