"vectorField:0","vectorField:1","vectorField:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.74069,0.29299,0.5298,9.6044,-0.11794,0.22805,-0.021037,-0.45476,-0.033123,-0.44034,-0.36784,0.81902,-115.37,-30.994,22.254
0.76716,0.30121,0.54843,9.8583,-0.11781,0.35102,-0.074495,-0.46223,-0.025757,-0.43699,-0.37442,0.81783,-115.18,-30.919,22.389
0.74478,0.29182,0.52904,10.097,-0.040967,0.1227,-0.061864,-0.46871,-0.028607,-0.43225,-0.37939,0.81806,-115,-30.848,22.519
0.7159,0.28003,0.50455,10.413,-0.056202,0.13476,-0.04614,-0.47767,-0.028033,-0.42423,-0.38568,0.81932,-114.76,-30.755,22.686
0.6477,0.25333,0.44752,12.109,-0.11499,0.21061,-0.0018098,-0.52393,-0.026526,-0.39807,-0.42381,0.81359,-113.54,-30.279,23.534
0.65514,0.25624,0.45311,12.469,-0.12247,0.22762,-0.00027273,-0.53344,-0.026329,-0.39261,-0.43155,0.81217,-113.31,-30.188,23.695
0.66513,0.25987,0.45914,12.915,-0.12787,0.27362,-0.021851,-0.54563,-0.028239,-0.38395,-0.44079,0.81135,-113.02,-30.073,23.898
0.64756,0.23726,0.42977,14.916,-0.11087,0.16003,0.019768,-0.60507,-0.031177,-0.35391,-0.48994,0.79669,-111.68,-29.565,24.808
0.6379,0.23177,0.42054,15.277,-0.12035,0.17362,0.025805,-0.61649,-0.03216,-0.34427,-0.49782,0.79602,-111.44,-29.479,24.963
0.63399,0.22943,0.41656,15.498,-0.12555,0.18219,0.028461,-0.62366,-0.032736,-0.33976,-0.50333,0.7945,-111.3,-29.428,25.055
0.62067,0.22805,0.40552,16.677,-0.12653,0.24537,0.018717,-0.65435,-0.01932,-0.32052,-0.52665,0.78734,-110.55,-29.155,25.545
0.65413,0.23527,0.42334,17.803,-0.13721,0.28367,0.021315,-0.6749,-0.017185,-0.31014,-0.54296,0.78039,-109.85,-28.9,26.001
0.68329,0.23979,0.43882,18.335,-0.14613,0.30119,0.027722,-0.68434,-0.018258,-0.30601,-0.55061,0.77665,-109.5,-28.775,26.226
0.69752,0.24143,0.44603,18.566,-0.08935,0.094911,0.031662,-0.68982,-0.029321,-0.30331,-0.55493,0.77463,-109.35,-28.721,26.327
0.67273,0.23294,0.42828,18.826,-0.095647,0.17706,0.010805,-0.69653,-0.022236,-0.29837,-0.55964,0.77316,-109.16,-28.658,26.443
0.64634,0.2242,0.40943,19.138,-0.10257,0.19226,0.014306,-0.70338,-0.021744,-0.29124,-0.56371,0.77293,-108.95,-28.585,26.576
0.60369,0.20713,0.37012,21.268,-0.13481,0.29661,0.015888,-0.74685,-0.019062,-0.26391,-0.59515,0.75904,-107.57,-28.105,27.437
0.61663,0.20985,0.37671,21.586,-0.1394,0.30901,0.0175,-0.75295,-0.019295,-0.25817,-0.59883,0.75812,-107.38,-28.039,27.555
0.60842,0.19287,0.36328,23.843,-0.1144,0.20297,0.029875,-0.80485,-0.026692,-0.23678,-0.63876,0.73207,-105.98,-27.576,28.402
0.58531,0.18228,0.34575,24.339,-0.12575,0.22434,0.0346,-0.81877,-0.029477,-0.22771,-0.64814,0.72668,-105.68,-27.481,28.582
0.57407,0.17674,0.33653,24.694,-0.13299,0.23952,0.03664,-0.82959,-0.031492,-0.22159,-0.65566,0.72181,-105.47,-27.417,28.704
0.56719,0.17484,0.33158,25.004,-0.13385,0.24101,0.04886,-0.83848,-0.025863,-0.21592,-0.6616,0.7181,-105.29,-27.362,28.808
0.56257,0.17451,0.32865,25.346,-0.13212,0.25121,0.043026,-0.84704,-0.024238,-0.21005,-0.66713,0.71471,-105.1,-27.302,28.922
0.58504,0.17927,0.33869,27.253,-0.13366,0.30092,0.030338,-0.88922,-0.019982,-0.18828,-0.69596,0.69295,-104.03,-26.969,29.547
0.6073,0.18123,0.34916,27.893,-0.13859,0.31543,0.033755,-0.90233,-0.021023,-0.18311,-0.70518,0.68497,-103.65,-26.855,29.763
0.62355,0.17881,0.35536,28.771,-0.13819,0.34306,0.031169,-0.91971,-0.018585,-0.17813,-0.71776,0.67312,-103.12,-26.699,30.069
0.62121,0.17473,0.3526,29.14,-0.13615,0.33748,0.033069,-0.92665,-0.018968,-0.1761,-0.72269,0.66836,-102.89,-26.634,30.2
0.60564,0.16788,0.34242,29.499,-0.11577,0.20255,0.034259,-0.93617,-0.034064,-0.17231,-0.72913,0.66233,-102.66,-26.571,30.326
0.58619,0.16044,0.32997,29.905,-0.12098,0.21969,0.033998,-0.95028,-0.035361,-0.16553,-0.73822,0.65393,-102.42,-26.503,30.465
0.56353,0.14941,0.31354,30.799,-0.13093,0.25725,0.030571,-0.98349,-0.038924,-0.15104,-0.75947,0.63277,-101.89,-26.362,30.759
0.56232,0.14602,0.31043,31.321,-0.13583,0.27885,0.026978,-1.0044,-0.041424,-0.14149,-0.77234,0.61925,-101.6,-26.285,30.922
0.57233,0.14632,0.31474,31.79,-0.12512,0.27355,0.03897,-1.0209,-0.028858,-0.1344,-0.78237,0.60814,-101.33,-26.217,31.068
0.59195,0.14817,0.32475,32.303,-0.12414,0.28613,0.038495,-1.0352,-0.026892,-0.12872,-0.79101,0.59811,-101.04,-26.142,31.229
0.72143,0.14668,0.38718,34.53,-0.1407,0.32966,0.077322,-1.0963,-0.027909,-0.12382,-0.83033,0.54335,-99.714,-25.838,31.95
0.75673,0.13797,0.40125,35.161,-0.14106,0.36261,0.080267,-1.1139,-0.028248,-0.12544,-0.8415,0.52549,-99.258,-25.75,32.193
0.72154,0.11289,0.37961,35.894,-0.092699,0.13564,0.058475,-1.1374,-0.03569,-0.12935,-0.85591,0.50069,-98.702,-25.656,32.487
0.70623,0.089681,0.36727,36.652,-0.08224,0.16342,0.036321,-1.1651,-0.037557,-0.13418,-0.87194,0.47087,-98.154,-25.578,32.774
0.70931,0.071478,0.36417,37.29,-0.074393,0.18553,0.018527,-1.1902,-0.040922,-0.13862,-0.8854,0.44368,-97.702,-25.526,33.007
0.71977,0.0576,0.36433,37.827,-0.062964,0.21283,0.0066273,-1.2114,-0.037892,-0.14137,-0.89597,0.42102,-97.32,-25.492,33.202
0.73677,0.043957,0.36669,38.316,-0.050642,0.23214,-0.010741,-1.2298,-0.037671,-0.14347,-0.90465,0.40128,-96.967,-25.467,33.379
0.8454,-0.013426,0.39206,39.893,-0.018539,0.29312,-0.053714,-1.2939,-0.043636,-0.16694,-0.93098,0.32466,-95.796,-25.441,33.943
0.90226,-0.038929,0.40538,40.409,-0.005393,0.32054,-0.06243,-1.3163,-0.043087,-0.17471,-0.9384,0.29813,-95.359,-25.454,34.142
0.91056,-0.061384,0.39996,40.81,-0.001777,0.021774,-0.062247,-1.3306,-0.027951,-0.1859,-0.94227,0.2785,-94.997,-25.474,34.303
0.91165,-0.081975,0.39217,41.172,0.0021295,0.022452,-0.060598,-1.3399,-0.023763,-0.1979,-0.94411,0.26363,-94.667,-25.5,34.447
0.91392,-0.11508,0.3789,41.753,0.0083355,0.023705,-0.057421,-1.3517,-0.016934,-0.21987,-0.94499,0.24216,-94.137,-25.557,34.671
0.91535,-0.13134,0.37196,42.04,0.011352,0.024412,-0.055611,-1.3561,-0.013545,-0.23046,-0.94469,0.23333,-93.875,-25.593,34.778
0.91666,-0.14405,0.3663,42.265,0.013699,0.025016,-0.054073,-1.3589,-0.01088,-0.23872,-0.94414,0.22716,-93.668,-25.624,34.861
0.90925,-0.16114,0.3496,42.718,0.020725,0.045148,-0.021502,-1.3604,0.0041038,-0.25178,-0.94234,0.22047,-93.253,-25.693,35.024
0.90541,-0.17698,0.33383,43.135,0.027674,0.05148,-0.013655,-1.3571,0.011606,-0.26442,-0.9392,0.21905,-92.873,-25.764,35.167
0.90477,-0.19107,0.31983,43.497,0.033896,0.056436,-0.0078373,-1.3518,0.017761,-0.2755,-0.93569,0.22044,-92.545,-25.831,35.286
0.90636,-0.20494,0.30568,43.85,0.04007,0.06074,-0.0029385,-1.3445,0.023483,-0.2864,-0.93155,0.22402,-92.225,-25.901,35.396
0.90885,-0.2152,0.29474,44.112,0.044679,0.063564,0.00025878,-1.3378,0.027573,-0.29003,-0.92909,0.22951,-91.987,-25.956,35.475
0.92216,-0.21499,0.21235,45.847,0.068106,0.17748,0.0043687,-1.2911,0.026355,-0.28176,-0.91851,0.27739,-90.394,-26.341,35.919
0.94299,-0.213,0.18039,46.507,0.080856,0.23883,0.012648,-1.2731,0.028123,-0.26612,-0.91671,0.29802,-89.783,-26.481,36.048
0.95067,-0.20519,0.17149,46.671,0.079784,0.25869,0.092057,-1.2676,0.039042,-0.25326,-0.91784,0.30564,-89.627,-26.516,36.077
0.95856,-0.19267,0.16253,46.826,0.075818,0.26917,0.093864,-1.2617,0.036392,-0.23772,-0.91921,0.31391,-89.48,-26.547,36.102
0.96764,-0.17527,0.15005,47.034,0.089817,0.026451,0.09608,-1.2479,0.0972,-0.21735,-0.91849,0.33036,-89.28,-26.585,36.135
0.9713,-0.15257,0.13349,47.289,0.064227,0.032323,0.098859,-1.2263,0.071202,-0.18836,-0.91573,0.3549,-89.032,-26.627,36.171
0.98741,-0.04945,0.065259,48.276,-0.038241,0.051688,0.1024,-1.2079,-0.033945,-0.075585,-0.9205,0.38336,-88.064,-26.728,36.27
0.99279,-0.016374,0.044233,48.574,-0.069653,0.05693,0.10132,-1.2228,-0.066003,-0.031103,-0.92771,0.372,-87.769,-26.738,36.286
0.98647,0.018494,0.013976,49.067,-0.081697,0.029194,0.055932,-1.2589,-0.080335,0.012574,-0.94049,0.33959,-87.28,-26.737,36.3
0.98079,0.046943,-0.012278,49.514,-0.091457,0.011108,0.049455,-1.2973,-0.091433,0.048724,-0.95167,0.30324,-86.838,-26.722,36.301
0.97773,0.064119,-0.028822,49.807,-0.09781,-0.0005311,0.045347,-1.3252,-0.098926,0.071004,-0.95849,0.27615,-86.552,-26.706,36.295
0.97539,0.080602,-0.045278,50.106,-0.10437,-0.012339,0.041216,-1.3559,-0.10682,0.091515,-0.96503,0.24566,-86.26,-26.684,36.283
0.97386,0.10276,-0.068467,50.543,-0.11417,-0.02947,0.035265,-1.4053,-0.11881,0.11577,-0.97372,0.19612,-85.834,-26.644,36.259
0.96646,0.10306,-0.071159,50.653,-0.11283,-0.077217,-0.039001,-1.4182,-0.11721,0.11757,-0.976,0.18328,-85.727,-26.633,36.251
0.95421,0.10054,-0.072358,50.773,-0.1091,-0.081869,-0.041801,-1.432,-0.11361,0.11639,-0.97859,0.16977,-85.611,-26.621,36.242
0.89104,0.089271,-0.080399,51.433,-0.089093,-0.10802,-0.057524,-1.5006,-0.093875,0.10819,-0.98884,0.1024,-84.981,-26.556,36.19
0.86314,0.085367,-0.085228,51.774,-0.079668,-0.12101,-0.065373,-1.5309,-0.084362,0.10525,-0.99181,0.072367,-84.678,-26.526,36.161
0.83511,0.08233,-0.091193,52.151,-0.052952,0.23163,-0.07406,-1.551,-0.021794,0.10368,-0.99323,0.052429,-84.352,-26.494,36.128
0.78244,0.080107,-0.099259,52.682,-0.058554,0.20363,-0.087136,-1.5637,-0.026304,0.10667,-0.99352,0.039254,-83.909,-26.449,36.076
0.77127,0.07896,-0.1003,52.809,-0.059292,0.16557,-0.11882,-1.5671,-0.026529,0.10641,-0.99367,0.036016,-83.81,-26.439,36.063
0.6293,0.030675,-0.082929,54.981,-0.045173,0.0051904,-0.12496,-1.6265,-0.028176,0.046868,-0.99877,-0.016207,-82.131,-26.311,35.843
0.6253,0.0012619,-0.067089,57.654,-0.030966,-0.068008,-0.13236,-1.6866,-0.016805,-0.0054398,-0.9975,-0.070438,-80.446,-26.271,35.639
0.64852,-0.016309,-0.04835,60.355,-0.017808,-0.10428,-0.14582,-1.7151,-0.0043011,-0.032316,-0.99482,-0.096425,-78.754,-26.294,35.483
0.67419,-0.028467,-0.029923,62.966,-0.0077738,-0.13188,-0.16643,-1.714,0.0051722,-0.046359,-0.99445,-0.094458,-77.06,-26.352,35.383
0.69829,-0.042299,-0.016272,65.48,-0.0018144,-0.1608,-0.19171,-1.6919,0.012367,-0.062167,-0.99546,-0.072038,-75.365,-26.437,35.329
0.70633,-0.061489,-0.0089053,67.908,0.00069103,-0.18025,-0.20345,-1.654,0.018875,-0.087198,-0.99562,-0.033816,-73.671,-26.56,35.299
0.68255,-0.083181,-0.0051145,70.303,0.0011099,-0.17572,-0.18464,-1.603,0.023732,-0.1208,-0.99252,0.017552,-71.982,-26.737,35.282
0.66123,-0.1033,0.00083278,72.773,-0.0024613,-0.18432,-0.15428,-1.5418,0.025826,-0.15392,-0.98494,0.078792,-70.3,-26.971,35.277
0.65871,-0.1057,0.001875,73.122,-0.0029863,-0.18946,-0.14465,-1.5326,0.026662,-0.15822,-0.98348,0.08793,-70.069,-27.008,35.277
0.64818,-0.11784,0.01445,75.668,-0.0063309,-0.2238,-0.11238,-1.4588,0.031329,-0.17958,-0.9705,0.16087,-68.395,-27.293,35.298
0.64708,-0.12004,0.016561,76.061,-0.0072692,-0.22923,-0.097318,-1.4463,0.032204,-0.18448,-0.96748,0.17304,-68.14,-27.34,35.304
0.61798,-0.12262,0.030813,78.641,0.0038688,-0.23357,-0.099277,-1.3476,0.044346,-0.20168,-0.94191,0.26855,-66.473,-27.657,35.365
0.63234,-0.16684,0.074858,81.333,0.064615,-0.20732,-0.13564,-1.1543,0.099194,-0.27131,-0.85489,0.44221,-64.82,-28.025,35.492
0.63319,-0.17685,0.083824,81.618,0.073195,-0.20433,-0.14031,-1.125,0.10671,-0.29443,-0.83485,0.46512,-64.64,-28.073,35.514
0.6334,-0.18499,0.091045,81.823,0.079504,-0.20246,-0.14395,-1.1025,0.11215,-0.30927,-0.81946,0.48254,-64.511,-28.11,35.532
0.63304,-0.19772,0.10222,82.107,0.0884,-0.20034,-0.14942,-1.0697,0.11967,-0.32952,-0.79618,0.50746,-64.332,-28.164,35.559
0.63264,-0.20359,0.10733,82.224,0.092172,-0.19963,-0.15188,-1.0554,0.12278,-0.34001,-0.78509,0.51771,-64.258,-28.188,35.571
0.6324,-0.20646,0.10983,82.28,0.09395,-0.19934,-0.15307,-1.0486,0.12423,-0.33841,-0.78177,0.52374,-64.223,-28.199,35.577
0.59525,-0.14067,0.062417,82.534,0.074964,0.14703,0.30184,-1.024,0.06958,-0.24418,-0.79394,0.55681,-64.059,-28.245,35.6
0.5596,-0.069028,0.010102,82.826,0.0016574,0.13867,0.30197,-1.0153,-0.0099201,-0.10331,-0.81359,0.57219,-63.883,-28.277,35.611
0.51775,0.039229,-0.069786,83.286,-0.10502,0.12617,0.30505,-1.0486,-0.13498,0.13515,-0.83721,0.52992,-63.625,-28.284,35.597
0.49245,0.14836,-0.15122,83.758,-0.20474,0.11456,0.31152,-1.1382,-0.24425,0.36329,-0.83998,0.40305,-63.388,-28.24,35.545
0.48935,0.17072,-0.168,83.851,-0.22419,0.11225,0.31308,-1.1617,-0.26273,0.4167,-0.83304,0.36388,-63.343,-28.226,35.531
0.48773,0.20131,-0.19144,84.009,-0.018936,0.10563,0.21199,-1.1866,-0.050876,0.46594,-0.82398,0.32243,-63.266,-28.197,35.502
0.48835,0.22565,-0.21032,84.149,-0.026376,0.099283,0.19895,-1.194,-0.055959,0.50749,-0.8084,0.29825,-63.199,-28.167,35.475
0.50333,0.30364,-0.27211,84.687,-0.052518,0.075983,0.14863,-1.2272,-0.067626,0.58838,-0.77621,0.22652,-62.948,-28.032,35.352
0.53462,0.36324,-0.32136,85.222,-0.076759,0.05574,0.098231,-1.2647,-0.072534,0.62088,-0.76525,0.17001,-62.686,-27.863,35.201
0.58362,0.41152,-0.36396,85.834,-0.10259,0.040628,0.045452,-1.3097,-0.074477,0.62141,-0.77383,0.1226,-62.363,-27.637,35.002
0.59534,0.41957,-0.37152,85.961,-0.10793,0.038906,0.035191,-1.3192,-0.074616,0.61886,-0.77718,0.11409,-62.289,-27.585,34.956
0.60161,0.42096,-0.37329,86.024,-0.11022,-0.14113,-0.20331,-1.3235,-0.060484,0.61512,-0.78046,0.11184,-62.251,-27.558,34.932
0.6098,0.41503,-0.36958,86.1,-0.11182,-0.13236,-0.19573,-1.3281,-0.061556,0.60341,-0.78923,0.11411,-62.205,-27.527,34.904
0.65574,0.38485,-0.35228,86.733,-0.12846,-0.072845,-0.1456,-1.3706,-0.072772,0.54465,-0.8324,0.10227,-61.806,-27.277,34.678
0.67918,0.38241,-0.35566,87.443,-0.15202,-0.031663,-0.1143,-1.4274,-0.087197,0.51315,-0.85629,0.058717,-61.336,-27.009,34.431
0.68606,0.38986,-0.36355,87.757,-0.16362,-0.021687,-0.10857,-1.4557,-0.093502,0.50646,-0.86169,0.031457,-61.123,-26.889,34.319
0.69537,0.40539,-0.37814,88.142,-0.1786,-0.016653,-0.10862,-1.4932,-0.10105,0.50089,-0.86548,-0.0067813,-60.86,-26.738,34.178
0.6851,0.41315,-0.38458,88.364,-0.23953,0.223,-0.10908,-1.5082,-0.033816,0.5055,-0.86244,-0.025969,-60.706,-26.647,34.093
0.67566,0.42044,-0.39056,88.566,-0.24643,0.21813,-0.10927,-1.5153,-0.036229,0.51218,-0.85805,-0.037698,-60.569,-26.563,34.015
0.66666,0.43104,-0.39935,88.832,-0.25552,0.21177,-0.10964,-1.5254,-0.039702,0.51938,-0.85288,-0.053363,-60.391,-26.449,33.91
0.66368,0.43659,-0.40398,88.962,-0.25995,0.20866,-0.10987,-1.5306,-0.041564,0.52228,-0.85058,-0.061122,-60.305,-26.393,33.858
0.66203,0.43976,-0.40517,89.224,-0.26353,0.15891,-0.15891,-1.542,-0.045057,0.52044,-0.85077,-0.073013,-60.131,-26.278,33.752
0.64609,0.42967,-0.39516,89.515,-0.15854,0.15283,-0.022383,-1.5532,-0.032062,0.51605,-0.85251,-0.08322,-59.938,-26.15,33.634
0.63071,0.41945,-0.38567,89.804,-0.16172,0.1453,-0.028712,-1.563,-0.035271,0.51188,-0.85413,-0.091856,-59.751,-26.026,33.52
0.60051,0.40118,-0.37404,91.319,-0.17595,0.09805,-0.068034,-1.6277,-0.050264,0.48333,-0.8626,-0.14936,-58.798,-25.391,32.933
0.61382,0.41117,-0.38695,91.874,-0.18021,0.07808,-0.084688,-1.6569,-0.05485,0.46951,-0.86542,-0.17492,-58.465,-25.168,32.724
0.62322,0.41774,-0.39467,92.095,-0.18168,0.023336,-0.13313,-1.6696,-0.060079,0.4632,-0.86654,-0.18588,-58.329,-25.077,32.638
0.63001,0.42046,-0.39773,92.292,-0.1808,0.016655,-0.13876,-1.6815,-0.06045,0.4561,-0.86821,-0.19541,-58.206,-24.995,32.56
0.65181,0.43207,-0.40913,92.755,-0.17867,0.0014395,-0.15149,-1.7096,-0.061027,0.44015,-0.87093,-0.21851,-57.914,-24.801,32.377
