Vector field dimensions
nbX, nbY, nbZ
1, 64, 16

Bounding box min and max
coordX, coordY, coordZ
0.492188, 0.000000, 0.375000
0.507813, 1.000000, 0.625000

Triplet of values describing each vector in the field stored in X-major Z-minor order
-0.0000e+00, 7.8938e-01, 6.1391e-01
-0.0000e+00, 7.8481e-01, 6.1973e-01
-0.0000e+00, 7.8729e-01, 6.1659e-01
-0.0000e+00, -9.9991e-01, 1.3592e-02
-0.0000e+00, 9.9854e-01, -5.3964e-02
-0.0000e+00, 9.8827e-01, -1.5270e-01
-0.0000e+00, 9.6869e-01, -2.4828e-01
-0.0000e+00, 9.4077e-01, -3.3904e-01
-0.0000e+00, 9.0019e-01, -4.3551e-01
-0.0000e+00, -8.6653e-01, 4.9913e-01
-0.0000e+00, -8.9844e-01, 4.3910e-01
-0.0000e+00, 9.8330e-01, -1.8198e-01
-0.0000e+00, -9.8189e-01, -1.8944e-01
-0.0000e+00, 9.4604e-01, 3.2404e-01
-0.0000e+00, 9.4930e-01, 3.1438e-01
-0.0000e+00, 9.1100e-01, 4.1241e-01
-0.0000e+00, 8.3011e-01, 5.5761e-01
-0.0000e+00, 8.0549e-01, 5.9261e-01
-0.0000e+00, 8.0555e-01, 5.9253e-01
-0.0000e+00, 9.9987e-01, -1.6109e-02
-0.0000e+00, 9.9837e-01, -5.7139e-02
-0.0000e+00, 9.8214e-01, -1.8817e-01
-0.0000e+00, 9.4212e-01, -3.3528e-01
-0.0000e+00, 8.8120e-01, -4.7274e-01
-0.0000e+00, 8.1166e-01, -5.8412e-01
-0.0000e+00, -7.8655e-01, 6.1753e-01
-0.0000e+00, -8.2557e-01, 5.6431e-01
-0.0000e+00, -9.4714e-01, 3.2082e-01
-0.0000e+00, -9.9683e-01, -7.9509e-02
-0.0000e+00, -9.6777e-01, -2.5185e-01
-0.0000e+00, 9.6901e-01, 2.4702e-01
-0.0000e+00, 9.4627e-01, 3.2338e-01
-0.0000e+00, 8.6527e-01, 5.0130e-01
-0.0000e+00, 8.3033e-01, 5.5727e-01
-0.0000e+00, 8.2545e-01, 5.6448e-01
-0.0000e+00, -9.9929e-01, 3.7584e-02
-0.0000e+00, 9.9744e-01, -7.1499e-02
-0.0000e+00, 9.7055e-01, -2.4091e-01
-0.0000e+00, 9.0415e-01, -4.2721e-01
-0.0000e+00, 8.1988e-01, -5.7254e-01
-0.0000e+00, -7.6831e-01, 6.4007e-01
-0.0000e+00, -7.7404e-01, 6.3313e-01
-0.0000e+00, 8.0590e-01, -5.9205e-01
-0.0000e+00, 9.3301e-01, -3.5984e-01
-0.0000e+00, 9.9876e-01, 4.9769e-02
-0.0000e+00, 9.7009e-01, 2.4275e-01
-0.0000e+00, 9.7251e-01, 2.3284e-01
-0.0000e+00, 9.6150e-01, 2.7482e-01
-0.0000e+00, 8.9742e-01, 4.4117e-01
-0.0000e+00, 8.5497e-01, 5.1867e-01
-0.0000e+00, 8.4335e-01, 5.3736e-01
-0.0000e+00, 9.9896e-01, -4.5574e-02
-0.0000e+00, 9.9545e-01, -9.5295e-02
-0.0000e+00, 9.4826e-01, -3.1751e-01
-0.0000e+00, 8.5006e-01, -5.2669e-01
-0.0000e+00, -7.6959e-01, 6.3853e-01
-0.0000e+00, 7.6368e-01, -6.4559e-01
-0.0000e+00, 7.7606e-01, -6.3066e-01
-0.0000e+00, 8.1976e-01, -5.7270e-01
-0.0000e+00, 9.4908e-01, -3.1504e-01
-0.0000e+00, 9.9661e-01, 8.2297e-02
-0.0000e+00, 9.6548e-01, 2.6046e-01
-0.0000e+00, 9.7364e-01, 2.2807e-01
-0.0000e+00, -9.7214e-01, -2.3439e-01
-0.0000e+00, 9.2878e-01, 3.7064e-01
-0.0000e+00, 8.7309e-01, 4.8757e-01
-0.0000e+00, 8.5346e-01, 5.2115e-01
-0.0000e+00, -9.9856e-01, 5.3567e-02
-0.0000e+00, 9.9064e-01, -1.3647e-01
-0.0000e+00, -9.1325e-01, 4.0739e-01
-0.0000e+00, 7.9439e-01, -6.0741e-01
-0.0000e+00, 7.4511e-01, -6.6694e-01
-0.0000e+00, 7.6786e-01, -6.4062e-01
-0.0000e+00, 7.8827e-01, -6.1533e-01
-0.0000e+00, 8.7201e-01, -4.8949e-01
-0.0000e+00, 9.8208e-01, -1.8847e-01
-0.0000e+00, 9.8679e-01, 1.6198e-01
-0.0000e+00, 9.5501e-01, 2.9657e-01
-0.0000e+00, -9.7191e-01, -2.3536e-01
-0.0000e+00, -9.7488e-01, -2.2271e-01
-0.0000e+00, 9.5014e-01, 3.1181e-01
-0.0000e+00, 8.8111e-01, 4.7292e-01
-0.0000e+00, 8.5326e-01, 5.2149e-01
-0.0000e+00, -9.9862e-01, 5.2568e-02
-0.0000e+00, 9.8395e-01, -1.7844e-01
-0.0000e+00, 8.8021e-01, -4.7459e-01
-0.0000e+00, -7.6959e-01, 6.3853e-01
-0.0000e+00, -7.5339e-01, 6.5757e-01
-0.0000e+00, 7.9103e-01, -6.1177e-01
-0.0000e+00, 8.5310e-01, -5.2175e-01
-0.0000e+00, 9.4630e-01, -3.2329e-01
-0.0000e+00, -9.9933e-01, 3.6584e-02
-0.0000e+00, -9.7191e-01, -2.3536e-01
-0.0000e+00, 9.4464e-01, 3.2811e-01
-0.0000e+00, 9.6894e-01, 2.4731e-01
-0.0000e+00, 9.6849e-01, 2.4905e-01
-0.0000e+00, 9.5430e-01, 2.9886e-01
-0.0000e+00, 8.8355e-01, 4.6833e-01
-0.0000e+00, 8.5252e-01, 5.2269e-01
-0.0000e+00, -9.9933e-01, 3.6584e-02
-0.0000e+00, 9.7721e-01, -2.1227e-01
-0.0000e+00, 8.6807e-01, -4.9645e-01
-0.0000e+00, -7.8840e-01, 6.1516e-01
-0.0000e+00, 8.1475e-01, -5.7981e-01
-0.0000e+00, 8.8732e-01, -4.6116e-01
-0.0000e+00, 9.5273e-01, -3.0382e-01
-0.0000e+00, 9.9444e-01, -1.0530e-01
-0.0000e+00, -9.9400e-01, -1.0937e-01
-0.0000e+00, 9.5439e-01, 2.9858e-01
-0.0000e+00, 9.3283e-01, 3.6031e-01
-0.0000e+00, 9.6554e-01, 2.6027e-01
-0.0000e+00, -9.6572e-01, -2.5959e-01
-0.0000e+00, 9.5744e-01, 2.8863e-01
-0.0000e+00, 8.9062e-01, 4.5476e-01
-0.0000e+00, 8.5461e-01, 5.1927e-01
-0.0000e+00, 9.9812e-01, -6.1292e-02
-0.0000e+00, -9.6701e-01, 2.5475e-01
-0.0000e+00, -8.8346e-01, 4.6850e-01
-0.0000e+00, -8.6251e-01, 5.0604e-01
-0.0000e+00, 9.3487e-01, -3.5499e-01
-0.0000e+00, 9.9077e-01, -1.3558e-01
-0.0000e+00, 9.9998e-01, 5.6230e-03
-0.0000e+00, -9.9187e-01, -1.2725e-01
-0.0000e+00, 9.6605e-01, 2.5834e-01
-0.0000e+00, 9.2781e-01, 3.7306e-01
-0.0000e+00, 9.1560e-01, 4.0209e-01
-0.0000e+00, -9.5978e-01, -2.8077e-01
-0.0000e+00, -9.6877e-01, -2.4798e-01
-0.0000e+00, -9.6572e-01, -2.5959e-01
-0.0000e+00, 9.1268e-01, 4.0867e-01
-0.0000e+00, 8.6281e-01, 5.0553e-01
-0.0000e+00, 9.9794e-01, -6.4146e-02
-0.0000e+00, 9.7270e-01, -2.3206e-01
-0.0000e+00, 9.2796e-01, -3.7268e-01
-0.0000e+00, -9.5215e-01, 3.0562e-01
-0.0000e+00, -9.9992e-01, 1.2592e-02
-0.0000e+00, 9.7353e-01, 2.2856e-01
-0.0000e+00, 9.5370e-01, 3.0077e-01
-0.0000e+00, 9.3992e-01, 3.4139e-01
-0.0000e+00, 9.1883e-01, 3.9466e-01
-0.0000e+00, 8.9369e-01, 4.4869e-01
-0.0000e+00, 8.9414e-01, 4.4780e-01
-0.0000e+00, 9.5187e-01, 3.0649e-01
-0.0000e+00, -9.7577e-01, -2.1881e-01
-0.0000e+00, 9.7776e-01, 2.0973e-01
-0.0000e+00, 9.4559e-01, 3.2537e-01
-0.0000e+00, 8.8458e-01, 4.6639e-01
